E-1,E-10,E-13,E-14,E-2,E-3,E-4,E-5,E-6,E-7,W-1,W-10,W-11,W-12,W-2,W-3,W-4,W-5,W-6,W-7,W-8,W-9,W-AUX3,
0,170.32,114.213,143.395,116.166,77.256,58.727,353.565,319.813,362.741,875.793,875.382,456.231,612.757,748.924,773.491,945.492,895.78,791.287,793.31,889.32,848.646,882.911,E-1
170.32,0,130.485,130.029,267.667,245.658,226.867,413.756,366.502,408.169,1023.747,1045.698,618.851,771.033,916.682,939.081,1110.037,1059.628,958.791,961.496,1058.676,1018.966,1052.183,E-10
114.213,130.485,0,29.498,229.898,183.156,167.005,290.281,246.428,289.584,985.24,952.306,558.278,652.768,840.801,869.473,1042.39,993.788,883.545,883.875,975.551,926.118,969.522,E-13
143.395,130.029,29.498,0,259.268,212.578,196.497,283.934,237.45,279.771,1014.57,976.421,586.882,669.991,867.695,897.017,1070.006,1021.598,910.475,910.519,1001.373,950.363,995.416,E-14
116.166,267.667,229.898,259.268,0,59.1,67.236,429.938,405.553,446.061,761.755,794.28,351.562,577.336,652.756,672.727,842.947,792.31,694.375,698.204,798.134,767.218,791.367,E-2
77.256,245.658,183.156,212.578,59.1,0,18.805,371.231,346.453,387.006,802.194,801.315,379.304,555.645,671.921,696.238,868.244,818.567,714.23,716.435,813.049,774.467,806.576,E-3
58.727,226.867,167.005,196.497,67.236,18.805,0,368.253,341.193,382.482,818.984,819.906,397.549,570.892,690.689,714.863,886.799,837.06,732.986,735.221,831.85,793.073,825.38,E-4
353.565,413.756,290.281,283.934,429.938,371.231,368.253,0,51.366,35.007,1069.761,893.319,632.537,516.162,843.323,886.95,1054.191,1013.021,884.572,878.158,947.597,870.61,943.328,E-5
319.813,366.502,246.428,237.45,405.553,346.453,341.193,51.366,0,43.51,1074.696,921.128,635.166,552.619,860.804,902.275,1071.541,1028.9,902.63,897.285,970.825,897.725,966.246,E-6
362.741,408.169,289.584,279.771,446.061,387.006,382.482,35.007,43.51,0,1100.488,928.309,662.293,550.67,877.19,920.408,1088.075,1046.619,918.552,912.315,982.299,905.578,977.998,E-7
875.793,1023.747,985.24,1014.57,761.755,802.194,818.984,1069.761,1074.696,1100.488,0,491.68,440.149,743.382,324.589,268.512,263.351,232.41,311.955,332.332,391.244,480.521,385.357,W-1
875.382,1045.698,952.306,976.421,794.28,801.315,819.906,893.319,921.128,928.309,491.68,0,476.07,402.198,204.21,241.252,271.213,271.48,191.13,171.267,108.789,27.125,112.173,W-10
456.231,618.851,558.278,586.882,351.562,379.304,397.549,632.537,635.166,662.293,440.149,476.07,0,430.871,307.346,321.958,491.392,440.79,347.303,353.69,458.437,449.394,451.166,W-11
612.757,771.033,652.768,669.991,577.336,555.645,570.892,516.162,552.619,550.67,743.382,402.198,430.871,0,433.737,490.124,624.024,597.594,464.425,449.834,482.07,384.55,480.198,W-12
748.924,916.682,840.801,867.695,652.756,671.921,690.689,843.323,860.804,877.19,324.589,204.21,307.346,433.737,0,57.437,210.887,171.713,42.838,46.435,153.457,183.19,145.859,W-2
773.491,939.081,869.473,897.017,672.727,696.238,714.863,886.95,902.275,920.408,268.512,241.252,321.958,490.124,57.437,0,173.084,126.848,50.157,70.14,166.372,224.042,158.63,W-3
945.492,1110.037,1042.39,1070.006,842.947,868.244,886.799,1054.191,1071.541,1088.075,263.351,271.213,491.392,624.024,210.887,173.084,0,52.362,169.917,178.821,162.63,271.159,160.221,W-4
895.78,1059.628,993.788,1021.598,792.31,818.567,837.06,1013.021,1028.9,1046.619,232.41,271.48,440.79,597.594,171.713,126.848,52.362,0,134.389,147.764,164.6,266.196,159.947,W-5
791.287,958.791,883.545,910.475,694.375,714.23,732.986,884.572,902.63,918.552,311.955,191.13,347.303,464.425,42.838,50.157,169.917,134.389,0,20.671,120.808,174.377,113.004,W-6
793.31,961.496,883.875,910.519,698.204,716.435,735.221,878.158,897.285,912.315,332.332,171.267,353.69,449.834,46.435,70.14,178.821,147.764,20.671,0,107.745,153.962,100.049,W-7
889.32,1058.676,975.551,1001.373,798.134,813.049,831.85,947.597,970.825,982.299,391.244,108.789,458.437,482.07,153.457,166.372,162.63,164.6,120.808,107.745,0,109.469,7.807,W-8
848.646,1018.966,926.118,950.363,767.218,774.467,793.073,870.61,897.725,905.578,480.521,27.125,449.394,384.55,183.19,224.042,271.159,266.196,174.377,153.962,109.469,0,111.034,W-9
882.911,1052.183,969.522,995.416,791.367,806.576,825.38,943.328,966.246,977.998,385.357,112.173,451.166,480.198,145.859,158.63,160.221,159.947,113.004,100.049,7.807,111.034,0,W-AUX3
