"","E-1-","E-15-","E-2-","E-3-","E-4-","E-5-","E-6-","E-7-","E-8-","W-1-","W-10-","W-11-","W-12-","W-3-","W-4-","W-5-","W-6-","W-7-","W-8-","W-9-","W-AUX3-"
"E-1-",NA,0.0325816589776555,0.0120201826815894,0.00918013166662007,0.0167029885201368,0.0187598139744334,0.0157745561617192,0.0316780447179531,0.0173875890145625,0.243859288206919,0.141110109921425,0.179088492252065,0.177525599945754,0.165582269137897,0.15592082653222,0.1323493071193,0.141059098814284,0.131396263442761,0.136086894222607,0.127547683329325,0.145154092173358
"E-15-",0.0325816589776555,NA,0.0389949448136679,0.0468133016056027,0.0394411333272344,0.0403372768477739,0.0425507714074215,0.048708094880495,0.0351485511503919,0.170493145809718,0.0906995390200161,0.117187076435886,0.123995507369575,0.103043433539271,0.0976197927478181,0.0809938944605384,0.0871322290414948,0.0796960117898138,0.0806962000368276,0.0773375788993612,0.105811019772482
"E-2-",0.0120201826815894,0.0389949448136679,NA,0.01733889661567,0.0122712094424391,0.0158578409721457,0.0286458201992183,0.035503646243766,0.0213405668849815,0.259146341463415,0.150398189408915,0.190321687997233,0.183415536374846,0.179166857085672,0.164751110266397,0.140478761490082,0.151284893453377,0.143485346595858,0.146808462594007,0.137694293665154,0.147117978088454
"E-3-",0.00918013166662007,0.0468133016056027,0.01733889661567,NA,0.0202764769223574,0.0175433250466707,0.0200301084966974,0.033348292943358,0.0142054442559319,0.264725823073168,0.162281400345202,0.20107409494295,0.197583176396736,0.196904391791002,0.178764788242086,0.155128595283799,0.165027346199401,0.152404324939536,0.162098028081478,0.150057970549892,0.166050587901496
"E-4-",0.0167029885201368,0.0394411333272344,0.0122712094424391,0.0202764769223574,NA,0.0146804393356876,0.0343755870890856,0.0533559629162648,0.0222969998132585,0.231577463806327,0.137728453010473,0.175564951078773,0.179862764324731,0.151435869030491,0.142325259484718,0.118294321553666,0.127579877379111,0.118989023148357,0.1235900108967,0.115912409086903,0.154569757830212
"E-5-",0.0187598139744334,0.0403372768477739,0.0158578409721457,0.0175433250466707,0.0146804393356876,NA,0.0221772610724577,0.0480689569117965,0.0244131867021066,0.225559061778116,0.133791203545082,0.164958488109621,0.161268188416257,0.15376888571033,0.143421781108018,0.125653341619196,0.131199916228363,0.124517538324086,0.123679017173723,0.120402339958486,0.142523852823961
"E-6-",0.0157745561617192,0.0425507714074215,0.0286458201992183,0.0200301084966974,0.0343755870890856,0.0221772610724577,NA,0.0324974524441099,0.020496217431041,0.194963794520336,0.112978663143329,0.142308645033441,0.14665564738292,0.131981561988299,0.124738256071802,0.104417570742114,0.10885936052931,0.100397468528327,0.0995314990211612,0.0991393856977312,0.133299268115561
"E-7-",0.0316780447179531,0.048708094880495,0.035503646243766,0.033348292943358,0.0533559629162648,0.0480689569117965,0.0324974524441099,NA,0.0218332560563352,0.225012295562145,0.133973724293909,0.162994806524237,0.160226748013551,0.163738508136509,0.149801108075393,0.129244545307572,0.136556422120366,0.12771446020762,0.126867462137058,0.124447477345583,0.138691177300261
"E-8-",0.0173875890145625,0.0351485511503919,0.0213405668849815,0.0142054442559319,0.0222969998132585,0.0244131867021066,0.020496217431041,0.0218332560563352,NA,0.235686793804421,0.139246404318793,0.169297603029376,0.165112705531239,0.174370758500027,0.154901652952272,0.134758579365636,0.145435699344895,0.134132536947499,0.139107832269165,0.129486299606365,0.137955983366475
"W-1-",0.243859288206919,0.170493145809718,0.259146341463415,0.264725823073168,0.231577463806327,0.225559061778116,0.194963794520336,0.225012295562145,0.235686793804421,NA,0.145345764738654,0.045673758865248,0.0560952679410844,0.13205667305248,0.0759795533795497,0.101662168629849,0.121809396714371,0.109025490913526,0.103984759783645,0.120281054668343,0.102350232632215
"W-10-",0.141110109921425,0.0906995390200161,0.150398189408915,0.162281400345202,0.137728453010473,0.133791203545082,0.112978663143329,0.133973724293909,0.139246404318793,0.145345764738654,NA,0.0790372289757228,0.0784281262480871,0.0333283594547291,0.0467168798268996,0.0336097794437078,0.0186864296377453,0.0219592984170121,0.0269469408183184,0.0168852037862338,0.0320903612687722
"W-11-",0.179088492252065,0.117187076435886,0.190321687997233,0.20107409494295,0.175564951078773,0.164958488109621,0.142308645033441,0.162994806524237,0.169297603029376,0.045673758865248,0.0790372289757228,NA,0.0276160503540519,0.0720521000361503,0.0385043448749197,0.0453318709486605,0.0573868602178867,0.0551987631195553,0.0464483199101891,0.0605769655233302,0.0483152378970758
"W-12-",0.177525599945754,0.123995507369575,0.183415536374846,0.197583176396736,0.179862764324731,0.161268188416257,0.14665564738292,0.160226748013551,0.165112705531239,0.0560952679410844,0.0784281262480871,0.0276160503540519,NA,0.0644716928287727,0.0387698642469829,0.0488345959160339,0.0541716032096505,0.052439024390244,0.0476366122580115,0.0607830310238873,0.0492082135038536
"W-3-",0.165582269137897,0.103043433539271,0.179166857085672,0.196904391791002,0.151435869030491,0.15376888571033,0.131981561988299,0.163738508136509,0.174370758500027,0.13205667305248,0.0333283594547291,0.0720521000361503,0.0644716928287727,NA,0.0371173439683286,0.0396836225540368,0.0212454742138198,0.0355723758813857,0.0287325369247733,0.0261241280310793,0.0262662457759699
"W-4-",0.15592082653222,0.0976197927478181,0.164751110266397,0.178764788242086,0.142325259484718,0.143421781108018,0.124738256071802,0.149801108075393,0.154901652952272,0.0759795533795497,0.0467168798268996,0.0385043448749197,0.0387698642469829,0.0371173439683286,NA,0.0267177635181652,0.0289677684415271,0.0247546825332016,0.0319262871610058,0.0308994007220765,0.0299430543923074
"W-5-",0.1323493071193,0.0809938944605384,0.140478761490082,0.155128595283799,0.118294321553666,0.125653341619196,0.104417570742114,0.129244545307572,0.134758579365636,0.101662168629849,0.0336097794437078,0.0453318709486605,0.0488345959160339,0.0396836225540368,0.0267177635181652,NA,0.0238536741602976,0.0230794100823199,0.0315579495493673,0.0194767251324,0.0224126787805013
"W-6-",0.141059098814284,0.0871322290414948,0.151284893453377,0.165027346199401,0.127579877379111,0.131199916228363,0.10885936052931,0.136556422120366,0.145435699344895,0.121809396714371,0.0186864296377453,0.0573868602178867,0.0541716032096505,0.0212454742138198,0.0289677684415271,0.0238536741602976,NA,0.0180017204818123,0.01653067215855,0.0132390369558177,0.0193175044308839
"W-7-",0.131396263442761,0.0796960117898138,0.143485346595858,0.152404324939536,0.118989023148357,0.124517538324086,0.100397468528327,0.12771446020762,0.134132536947499,0.109025490913526,0.0219592984170121,0.0551987631195553,0.052439024390244,0.0355723758813857,0.0247546825332016,0.0230794100823199,0.0180017204818123,NA,0.0299231619765887,0.0137184759230159,0.0222629073504183
"W-8-",0.136086894222607,0.0806962000368276,0.146808462594007,0.162098028081478,0.1235900108967,0.123679017173723,0.0995314990211612,0.126867462137058,0.139107832269165,0.103984759783645,0.0269469408183184,0.0464483199101891,0.0476366122580115,0.0287325369247733,0.0319262871610058,0.0315579495493673,0.01653067215855,0.0299231619765887,NA,0.0214425236167189,0.0228486200097788
"W-9-",0.127547683329325,0.0773375788993612,0.137694293665154,0.150057970549892,0.115912409086903,0.120402339958486,0.0991393856977312,0.124447477345583,0.129486299606365,0.120281054668343,0.0168852037862338,0.0605769655233302,0.0607830310238873,0.0261241280310793,0.0308994007220765,0.0194767251324,0.0132390369558177,0.0137184759230159,0.0214425236167189,NA,0.0237595799228284
"W-AUX3-",0.145154092173358,0.105811019772482,0.147117978088454,0.166050587901496,0.154569757830212,0.142523852823961,0.133299268115561,0.138691177300261,0.137955983366475,0.102350232632215,0.0320903612687722,0.0483152378970758,0.0492082135038536,0.0262662457759699,0.0299430543923074,0.0224126787805013,0.0193175044308839,0.0222629073504183,0.0228486200097788,0.0237595799228284,NA
