"","BIO1","BIO2","BIO3","BIO4","BIO5","BIO6","BIO7","BIO8","BIO9","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19"
"BIO1","1","","","","","","","","","","","","","","","","","",""
"BIO2"," ","1","","","","","","","","","","","","","","","","",""
"BIO3",".",",","1","","","","","","","","","","","","","","","",""
"BIO4","."," ",",","1","","","","","","","","","","","","","","",""
"BIO5","+","."," "," ","1","","","","","","","","","","","","","",""
"BIO6","+"," ",".",",",".","1","","","","","","","","","","","","",""
"BIO7",".","."," ","+"," ",",","1","","","","","","","","","","","",""
"BIO8",",",".",",",",",",","+",".","1","","","","","","","","","","",""
"BIO9"," "," "," "," "," "," "," "," ","1","","","","","","","","","",""
"BIO10","+"," "," "," ","*","."," ","."," ","1","","","","","","","","",""
"BIO11","*"," ",".",",",",","*",".","+"," ",".","1","","","","","","","",""
"BIO12",","," "," ",".",".","+",",",".",".",".",",","1","","","","","","",""
"BIO13",","," "," ",".",".",",",",",".",".",".",",","B","1","","","","","",""
"BIO14",","," "," ",".",".",",",".",".",".",".",".",",",",","1","","","","",""
"BIO15","."," ",",",","," ",",",",",".","."," ",",",",","+",".","1","","","",""
"BIO16",","," ",".",",",".",",",",",".",".",".",",","B","B",",","+","1","","",""
"BIO17",".","."," "," ",".","."," "," "," ",",",".",",",".","+"," ",".","1","",""
"BIO18","."," ",".",","," ",",",",",".","."," ",",","*","B",",","+","B",".","1",""
"BIO19","."," "," "," ","."," "," ",".",",",".","."," "," "," ","."," "," "," ","1"
