Axis No.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
E1,0.716,-0.024,0.001,-0.014,-0.022,0.010,-0.056,0.061,0.023,-0.076,-0.023,-0.024,-0.011,0.009,0.007
E10,0.496,0.076,0.005,0.043,-0.252,-0.049,-0.048,0.063,0.074,-0.087,-0.104,-0.004,0.030,0.040,0.017
E13,0.360,0.237,0.041,-0.403,-0.052,0.049,0.007,0.033,-0.060,0.059,0.145,-0.001,-0.013,0.017,-0.013
E14,0.373,0.074,0.003,-0.168,-0.124,-0.143,-0.053,-0.028,0.070,-0.050,-0.039,0.036,-0.028,-0.049,-0.032
E2,0.659,-0.073,0.031,0.301,0.000,-0.025,0.047,0.005,0.020,0.132,0.063,-0.001,0.029,-0.041,-0.034
E3,0.730,0.026,-0.099,0.121,0.035,0.095,0.029,0.030,-0.098,0.018,0.039,-0.010,-0.017,0.027,0.015
E4,0.690,0.000,-0.143,0.089,-0.100,0.097,-0.097,0.031,0.071,0.025,0.080,0.012,-0.003,-0.008,-0.015
E5,0.654,0.003,-0.092,-0.049,0.340,0.067,-0.070,-0.128,0.070,-0.096,-0.013,0.081,0.013,-0.002,0.024
E6,0.580,-0.049,0.214,0.056,0.101,-0.085,0.140,0.000,-0.010,-0.015,-0.029,-0.079,-0.105,0.045,0.000
E7,0.595,0.070,0.041,-0.106,0.012,-0.087,0.113,-0.038,-0.146,0.088,-0.112,0.004,0.092,-0.045,0.033
W1,-0.583,0.743,0.313,0.096,0.103,0.066,-0.167,0.086,-0.028,0.020,-0.043,-0.007,-0.006,-0.019,-0.007
W10,-0.329,-0.337,-0.008,-0.059,0.088,-0.028,-0.059,0.003,-0.120,-0.090,0.000,-0.115,0.013,-0.010,-0.042
W11,-0.577,0.348,-0.049,0.042,-0.092,0.026,0.168,-0.078,0.051,-0.046,0.077,-0.032,-0.019,-0.013,0.069
W12,-0.525,0.388,-0.290,-0.011,0.058,-0.064,0.138,-0.036,0.048,0.054,-0.063,0.041,0.007,0.053,-0.062
W2,-0.366,-0.319,0.300,-0.011,-0.055,-0.085,-0.082,-0.160,0.043,0.080,0.040,0.066,-0.005,0.019,0.007
W3,-0.509,-0.167,-0.309,-0.033,0.084,-0.145,-0.148,0.100,0.024,0.134,-0.024,-0.030,-0.067,-0.010,0.045
W4,-0.493,0.110,-0.109,0.157,-0.044,-0.189,-0.066,-0.074,-0.124,-0.122,0.106,0.011,0.038,0.006,-0.001
W5,-0.367,-0.054,-0.071,-0.037,-0.056,0.179,-0.039,-0.175,0.090,0.036,-0.049,-0.134,0.029,-0.018,-0.010
W6,-0.455,-0.226,-0.017,-0.025,0.043,0.092,0.031,0.141,0.007,-0.020,0.018,0.024,0.096,0.035,0.001
W7,-0.439,-0.175,-0.088,0.035,-0.108,0.174,0.056,0.000,-0.131,-0.047,-0.062,0.093,-0.095,-0.051,-0.013
W8,-0.454,-0.194,0.100,-0.038,0.080,-0.037,0.137,0.156,0.138,-0.054,0.038,0.000,0.020,-0.059,0.003
W9,-0.386,-0.231,0.064,-0.002,-0.066,0.078,-0.045,0.019,-0.049,0.050,-0.038,0.034,0.015,0.048,0.026
WAUX3,-0.372,-0.224,0.161,0.015,0.026,0.003,0.063,-0.009,0.037,0.007,-0.009,0.035,-0.015,0.026,-0.019
