"","pop_names[pop_keep]","N","MLG","num_clones","Qha_Hexp","Qha_alleles","Qha_all_rich","Qha_pwfst","wang.means"
"1","E-1-",20,18,2,0.554328422473584,58,39.7315288851915,0.0877362971990945,0.215391436156067
"2","E-10",9,9,0,0.648942634905202,55,48.183430295195,0.0663659071633007,0.0540880269232099
"3","E-13",8,8,0,0.634090909090909,53,47.1697802197802,0.0727147935046488,0.157580408493595
"4","E-15-",24,21,3,0.703672541536113,84,53.031167965035,0.0611071759253573,0.00934741876774987
"5","E-2-",25,22,3,0.561502979050548,56,37.6729474360992,0.0898258083038884,0.250363770604901
"6","E-3-",27,20,7,0.52027972027972,57,37.8123271672054,0.0935064025239879,0.238995361315113
"7","E-4-",19,13,6,0.542039725755141,49,39.3875117559786,0.0818659075220403,0.148951654832679
"8","E-5-",32,17,15,0.543469127186998,60,39.1013190779342,0.0948681472624641,0.265053689030526
"9","E-6-",14,11,3,0.653679653679654,60,46.8545463824102,0.0783458011000604,0.113404416788969
"10","E-8-",56,40,16,0.615106080758224,91,45.770413070744,0.0716770576288292,0.155797199097533
"12","W-1-",39,25,14,0.55316937482351,58,37.0200802737719,0.128839535782254,0.2753156096441
"13","W-10-",29,22,7,0.696162963181991,90,56.5816512928054,0.0655378428365394,0.0210797703347096
"14","W-11-",20,19,1,0.646579593948015,84,52.7981065257778,0.0855420298897425,0.0892908454241485
"15","W-12-",18,15,3,0.600562272976066,69,48.1774586892018,0.0928735517253585,0.0810731898059091
"16","W-2-",11,7,4,0.681318681318681,53,50.2857142857143,0.0765898255765166,-0.0440878019753564
"17","W-3-",33,32,1,0.586373324835305,88,49.8812200249684,0.0830510526576757,0.0982278324996137
"18","W-4-",33,26,7,0.646179211076567,79,48.6212027648913,0.0764856927489928,0.142773478733719
"19","W-5-",30,27,3,0.668129400093884,103,55.5121553265896,0.0610256585445333,0.0520484113899891
"20","W-6-",33,31,2,0.663381568193837,106,53.9142068422615,0.0614256579965759,0.0512088088110273
"21","W-7-",32,30,2,0.659681561376477,93,52.489636592622,0.0641422677184426,0.0779930833019676
"22","W-8-",39,35,4,0.716321416974402,98,54.3538266773493,0.0597818670764682,0.0351218741708543
"23","W-9-",30,28,2,0.701055932188008,106,57.5550991639708,0.0578503470042522,-0.000553377111308787
"24","W-AUX3-",16,14,2,0.693592518592519,73,53.4069040379163,0.0697885488085525,0.0512363319401858
