"","V1","V2"
"1"," Mean Diurnal Range (Mean of monthly (max temp - min temp))","num_clones"
"2"," Mean Diurnal Range (Mean of monthly (max temp - min temp))","Qha_Hexp"
"3"," Mean Diurnal Range (Mean of monthly (max temp - min temp))","Qha_all_rich"
"4"," Mean Diurnal Range (Mean of monthly (max temp - min temp))","Qha_pwfst"
"5"," Mean Diurnal Range (Mean of monthly (max temp - min temp))","wang.means"
"6"," Mean Temperature of Driest Quarter","Qha_Hexp"
"7"," Mean Temperature of Driest Quarter","Qha_all_rich"
"8"," Mean Temperature of Driest Quarter","Qha_pwfst"
"9"," Mean Temperature of Wettest Quarter","num_clones"
"10"," Temperature Annual Range (BIO5-BIO6)","num_clones"
"11"," Temperature Annual Range (BIO5-BIO6)","Qha_Hexp"
"12"," Temperature Annual Range (BIO5-BIO6)","Qha_all_rich"
"13"," Temperature Annual Range (BIO5-BIO6)","Qha_pwfst"
"14"," Temperature Annual Range (BIO5-BIO6)","wang.means"
