Longitude,Latitude,Pop
-100.802,37.131,E1_EB
-103.8,32.363,E10_EB
-101.209,34.53,E100_EB
-100.814,34.965,E101_EB
-101.354,35.403,E102_EB
-100.814,35.838,E103_EB
-101.355,35.84,E104_EB
-100.273,36.278,E105_EB
-102.602,36.278,E106_EB
-103.05,31.383,E107_EB
-102.608,31.497,E108_EB
-102.819,31.594,E109_EB
-103.748,32.377,E11_EB
-103.149,31.625,E110_EB
-102.972,31.755,E111_EB
-103.02,31.796,E112_EB
-102.368,31.846,E113_EB
-99.1,31.87,E114_EB
-102.913,31.881,E115_EB
-102.972,31.96,E116_EB
-102.849,32.062,E117_EB
-102.83,32.37,E118_EB
-102.078,32.433,E119_EB
-103.783,32.377,E12_EB
-102.546,32.536,E120_EB
-102.645,32.646,E121_EB
-102.257,32.695,E122_EB
-102.258,32.696,E123_EB
-102.257,32.697,E124_EB
-102.258,32.697,E125_EB
-102.256,32.7,E126_EB
-102.645,32.719,E127_EB
-103.06,33.101,E128_EB
-102.274,33.181,E129_EB
-103.8,32.378,E13_EB
-101.305,33.252,E130_EB
-101.275,33.277,E131_EB
-102.32,33.28,E132_EB
-102.207,33.337,E133_EB
-101.148,33.409,E134_EB
-102.6,33.53,E135_EB
-101.855,33.578,E136_EB
-100.854,33.651,E137_EB
-100.837,33.723,E138_EB
-100.837,33.738,E139_EB
-103.748,32.392,E14_EB
-100.817,33.763,E140_EB
-100.847,33.81,E141_EB
-100.558,33.858,E142_EB
-102.899,33.994,E143_EB
-102.724,34.226,E144_EB
-100.105,35.214,E145_EB
-100.541,35.225,E146_EB
-100.2,35.503,E147_EB
-100.271,35.503,E148_EB
-100.293,35.985,E149_EB
-103.748,32.421,E15_EB
-102.349,31.392,E150_EB
-102.973,31.601,E151_EB
-102.811,31.621,E152_EB
-102.813,31.625,E153_EB
-102.834,31.654,E154_EB
-102.9,31.687,E155_EB
-102.81,31.694,E156_EB
-102.816,31.762,E157_EB
-103.137,31.797,E158_EB
-102.775,32.262,E159_EB
-103.8,32.421,E16_EB
-102.78,32.381,E160_EB
-102.429,32.409,E161_EB
-102.214,32.605,E162_EB
-102.398,32.606,E163_EB
-102.214,32.622,E164_EB
