Longitude,Latitude,Pop
-102.6168515,33.372725,SH_E1
-101.3319871,32.286168,SH_E10
-101.3906,33.45861,SH_E13
-101.0739,33.43528,SH_E14
-101.054931,33.443032,SH_E15
-103.8673878,33.40777,SH_E2
-103.344343,33.711941,SH_E3
-103.18341,33.608706,SH_E4
-100.2758676,35.903003,SH_E5
-100.19934,35.44526,SH_E6
-99.92558333,35.767091,SH_E7
-99.81720607,35.79435,SH_E8
-100.112279,35.448712,SH_EAUX8
-111.98501,34.72734,SH_W1
-109.7249519,38.761722,SH_W10
-107.1716702,34.998287,SH_W11
-105.1060839,38.502309,SH_W12
-109.617944,36.927164,SH_W2
-110.1328778,36.616231,SH_W3
-111.9837,37.09571,SH_W4
-111.5398813,36.786009,SH_W5
-110.068672,37.064371,SH_W6
-109.9730905,37.233943,SH_W7
-110.6018908,38.065245,SH_W8
-109.5268944,38.573059,SH_W9
-110.56879,38.00006,SH_WAUX3
