"","V1","V2"
"1"," Mean Temperature of Coldest Quarter","num_clones"
"2"," Mean Temperature of Warmest Quarter","Qha_Hexp"
"3"," Mean Temperature of Warmest Quarter","Qha_all_rich"
"4"," Mean Temperature of Warmest Quarter","Qha_pwfst"
"5"," Precipitation of Coldest Quarter","Qha_Hexp"
"6"," Precipitation of Coldest Quarter","Qha_all_rich"
"7"," Precipitation of Coldest Quarter","Qha_pwfst"
"8"," Precipitation of Coldest Quarter","wang.means"
"9"," Precipitation of Driest Quarter","Qha_Hexp"
"10"," Precipitation of Driest Quarter","Qha_all_rich"
"11"," Precipitation of Driest Quarter","Qha_pwfst"
"12"," Precipitation of Driest Quarter","wang.means"
"13"," Precipitation Seasonality (Coefficient of Variation)","Qha_Hexp"
"14"," Precipitation Seasonality (Coefficient of Variation)","Qha_all_rich"
"15"," Temperature Annual Range (BIO5-BIO6)","num_clones"
