"","V1","V2"
"1"," Annual Precipitation","Qha_Hexp"
"2"," Annual Precipitation","Qha_all_rich"
"3"," Annual Precipitation","Qha_pwfst"
"4"," Annual Precipitation","wang.means"
"5"," Isothermality (BIO2/BIO7) (* 100)","Qha_Hexp"
"6"," Isothermality (BIO2/BIO7) (* 100)","Qha_all_rich"
"7"," Isothermality (BIO2/BIO7) (* 100)","Qha_pwfst"
"8"," Isothermality (BIO2/BIO7) (* 100)","wang.means"
"9"," Mean Temperature of Coldest Quarter","num_clones"
"10"," Mean Temperature of Coldest Quarter","Qha_Hexp"
"11"," Mean Temperature of Coldest Quarter","Qha_all_rich"
"12"," Mean Temperature of Coldest Quarter","Qha_pwfst"
"13"," Mean Temperature of Coldest Quarter","wang.means"
"14"," Mean Temperature of Wettest Quarter","Qha_Hexp"
"15"," Mean Temperature of Wettest Quarter","Qha_all_rich"
"16"," Mean Temperature of Wettest Quarter","Qha_pwfst"
"17"," Mean Temperature of Wettest Quarter","wang.means"
"18"," Precipitation of Coldest Quarter","num_clones"
"19"," Precipitation of Coldest Quarter","Qha_all_rich"
"20"," Precipitation of Coldest Quarter","wang.means"
"21"," Temperature Seasonality (standard deviation *100)","Qha_Hexp"
"22"," Temperature Seasonality (standard deviation *100)","Qha_all_rich"
"23"," Temperature Seasonality (standard deviation *100)","Qha_pwfst"
"24"," Temperature Seasonality (standard deviation *100)","wang.means"
