"","V1","V2"
"1"," Annual Precipitation","Qha_Hexp"
"2"," Annual Precipitation","Qha_all_rich"
"3"," Annual Precipitation","wang.means"
"4"," Isothermality (BIO2/BIO7) (* 100)","Qha_Hexp"
"5"," Isothermality (BIO2/BIO7) (* 100)","Qha_all_rich"
"6"," Isothermality (BIO2/BIO7) (* 100)","Qha_pwfst"
"7"," Isothermality (BIO2/BIO7) (* 100)","wang.means"
"8"," Mean Diurnal Range (Mean of monthly (max temp - min temp))","Qha_pwfst"
"9"," Mean Temperature of Coldest Quarter","Qha_all_rich"
"10"," Mean Temperature of Coldest Quarter","wang.means"
"11"," Mean Temperature of Wettest Quarter","Qha_Hexp"
"12"," Mean Temperature of Wettest Quarter","Qha_all_rich"
"13"," Mean Temperature of Wettest Quarter","Qha_pwfst"
"14"," Mean Temperature of Wettest Quarter","wang.means"
"15"," Temperature Seasonality (standard deviation *100)","Qha_Hexp"
"16"," Temperature Seasonality (standard deviation *100)","Qha_all_rich"
"17"," Temperature Seasonality (standard deviation *100)","Qha_pwfst"
"18"," Temperature Seasonality (standard deviation *100)","wang.means"
