"","V1","V2"
"1"," Annual Precipitation","Qha_Hexp"
"2"," Annual Precipitation","Qha_all_rich"
"3"," Annual Precipitation","wang.means"
"4"," Isothermality (BIO2/BIO7) (* 100)","Qha_Hexp"
"5"," Isothermality (BIO2/BIO7) (* 100)","Qha_all_rich"
"6"," Isothermality (BIO2/BIO7) (* 100)","Qha_pwfst"
"7"," Mean Diurnal Range (Mean of monthly (max temp - min temp))","Qha_pwfst"
"8"," Mean Temperature of Coldest Quarter","Qha_all_rich"
"9"," Temperature Seasonality (standard deviation *100)","Qha_Hexp"
"10"," Temperature Seasonality (standard deviation *100)","Qha_all_rich"
